iter	Passed	Remaining
0	681	53806
1	1074	41916
2	1495	38374
3	1877	35678
4	2258	33871
5	2715	33489
6	3130	32651
7	3487	31383
8	3863	30480
9	4221	29547
10	4594	28817
11	4948	28041
12	5298	27309
13	5686	26809
14	6017	26077
15	6396	25587
16	6761	25057
17	7102	24465
18	7510	24112
19	7903	23711
20	8388	23568
21	8797	23193
22	9278	22994
23	9714	22667
24	10157	22346
25	10590	21996
26	11037	21666
27	11484	21327
28	11890	20911
29	12326	20544
30	12756	20164
31	13320	19981
32	13758	19595
33	14167	19168
34	14574	18738
35	15018	18355
36	15497	18010
37	15989	17672
38	16417	17259
39	16835	16835
40	17293	16450
41	17721	16033
42	18148	15615
43	18542	15171
44	18962	14748
45	19320	14280
46	19696	13829
47	20023	13348
48	20332	12863
49	20643	12386
50	21083	11988
51	21546	11601
52	22015	11215
53	22560	10862
54	23081	10491
55	23664	10142
56	24115	9730
57	24514	9298
58	24890	8859
59	25305	8435
60	25707	8007
61	26102	7578
62	26490	7148
63	26852	6713
64	27229	6283
65	27599	5854
66	27948	5422
67	28430	5017
68	28847	4598
69	29269	4181
70	29714	3766
71	30157	3350
72	30588	2933
73	31002	2513
74	31507	2100
75	31904	1679
76	32344	1260
77	32780	840
78	33260	421
79	33722	0
