iter	Passed	Remaining
0	71	71423
1	159	79609
2	268	89090
3	309	77063
4	357	71059
5	438	72565
6	491	69767
7	541	67165
8	609	67067
9	680	67369
10	718	64593
11	754	62150
12	807	61336
13	857	60378
14	932	61232
15	1005	61825
16	1047	60580
17	1121	61202
18	1169	60389
19	1216	59620
20	1254	58487
21	1315	58461
22	1357	57661
23	1396	56785
24	1480	57736
25	1539	57665
26	1625	58589
27	1684	58491
28	1776	59487
29	1876	60658
30	1953	61063
31	1993	60308
32	2079	60926
33	2201	62543
34	2319	63945
35	2441	65376
36	2616	68094
37	2695	68233
38	2852	70294
39	2944	70675
40	3032	70931
41	3120	71168
42	3256	72480
43	3371	73258
44	3504	74366
45	3596	74584
46	3714	75324
47	3793	75243
48	3879	75286
49	4006	76132
50	4084	75996
51	4181	76235
52	4319	77179
53	4417	77390
54	4560	78355
55	4667	78678
56	4734	78330
57	4793	77846
58	4928	78604
59	5068	79402
60	5129	78957
61	5216	78921
62	5285	78611
63	5349	78235
64	5438	78232
65	5564	78743
66	5644	78601
67	5735	78614
68	5817	78490
69	5919	78646
70	6066	79382
71	6168	79501
72	6240	79242
73	6311	78978
74	6399	78928
75	6578	79984
76	6684	80124
77	6760	79915
78	6869	80090
79	6993	80429
80	7160	81243
81	7251	81177
82	7316	80838
83	7439	81122
84	7523	80993
85	7602	80793
86	7669	80480
87	7767	80499
88	7970	81581
89	8128	82185
90	8227	82180
91	8334	82258
92	8438	82301
93	8581	82712
94	8664	82544
95	8788	82755
96	8889	82752
97	9030	83115
98	9175	83506
99	9297	83678
100	9424	83885
101	9560	84172
102	9682	84323
103	9779	84252
104	9938	84711
105	10052	84779
106	10193	85070
107	10362	85590
108	10479	85663
109	10598	85748
110	10751	86106
111	10859	86097
112	11013	86449
113	11107	86327
114	11208	86255
115	11332	86362
116	11472	86585
117	11571	86488
118	11725	86807
119	11879	87113
120	11998	87160
121	12095	87051
122	12208	87048
123	12390	87535
124	12498	87486
125	12625	87575
126	12777	87834
127	12911	87960
128	13064	88213
129	13198	88331
130	13353	88581
131	13485	88679
132	13592	88608
133	13688	88466
134	13783	88318
135	13924	88460
136	14067	88616
137	14222	88839
138	14363	88971
139	14501	89081
140	14657	89294
141	14768	89232
142	14855	89031
143	14978	89040
144	15150	89334
145	15305	89529
146	15447	89635
147	15570	89635
148	15684	89580
149	15806	89572
150	15904	89421
151	16038	89477
152	16179	89566
153	16272	89390
154	16385	89325
155	16517	89364
156	16615	89216
157	16674	88862
158	16765	88680
159	16883	88640
160	16998	88581
161	17110	88510
162	17208	88367
163	17364	88514
164	17481	88466
165	17615	88501
166	17743	88506
167	17860	88452
168	17990	88462
169	18136	88548
170	18266	88552
171	18391	88537
172	18494	88411
173	18642	88497
174	18733	88315
175	18819	88107
176	18936	88051
177	19068	88059
178	19221	88161
179	19344	88126
180	19496	88219
181	19600	88095
182	19723	88056
183	19843	88002
184	19972	87988
185	20081	87885
186	20237	87986
187	20368	87975
188	20474	87857
189	20601	87829
190	20748	87881
191	20888	87903
192	21061	88063
193	21176	87979
194	21291	87897
195	21379	87698
196	21575	87944
197	21719	87973
198	21838	87903
199	21932	87729
200	22082	87780
201	22180	87624
202	22296	87538
203	22401	87408
204	22550	87453
205	22658	87332
206	22768	87224
207	22893	87171
208	23053	87248
209	23186	87225
210	23307	87155
211	23431	87094
212	23550	87013
213	23672	86947
214	23813	86946
215	23929	86853
216	24136	87092
217	24309	87202
218	24368	86904
219	24430	86616
220	24573	86618
221	24736	86687
222	24877	86680
223	25021	86682
224	25117	86515
225	25234	86421
226	25293	86132
227	25481	86278
228	25627	86282
229	25760	86241
230	25845	86040
231	25968	85964
232	26105	85935
233	26211	85803
234	26386	85895
235	26515	85839
236	26689	85924
237	26835	85918
238	26989	85936
239	27137	85936
240	27275	85900
241	27414	85868
242	27518	85725
243	27690	85794
244	27785	85625
245	27933	85615
246	28095	85651
247	28185	85466
248	28301	85358
249	28476	85429
250	28579	85283
251	28707	85210
252	28806	85053
253	28916	84927
254	29052	84878
255	29220	84922
256	29366	84898
257	29415	84597
258	29560	84572
259	29719	84584
260	29836	84479
261	29950	84363
262	30107	84370
263	30294	84457
264	30449	84454
265	30576	84373
266	30621	84066
267	30770	84045
268	30920	84026
269	31082	84039
270	31262	84096
271	31392	84019
272	31556	84035
