iter	Logloss	Accuracy
0	0.3007996296	0.9426282663
1	0.2305382137	0.9426282663
2	0.1899610549	0.9426282663
3	0.1773389658	0.9430478734
4	0.1730833745	0.9469006294
5	0.1684855299	0.9476635514
6	0.1640495863	0.9499523174
7	0.1619819634	0.9500286096
8	0.1600052365	0.9502956323
9	0.1591764031	0.9505245089
10	0.1582892251	0.9512874309
11	0.1579127946	0.9514018692
12	0.1572929535	0.9514781614
13	0.1569938822	0.9515544536
14	0.156723844	0.9520503529
15	0.1561088522	0.9518214763
16	0.1556798215	0.952508106
17	0.155488457	0.9526988365
18	0.1551974382	0.9526988365
19	0.1544898985	0.9529277131
20	0.1538021254	0.9536143429
21	0.1528796803	0.9536143429
22	0.1528796699	0.9536143429
23	0.1520009655	0.95403395
24	0.1517952023	0.9540720961
25	0.1510675998	0.9540720961
26	0.1510423102	0.9541483883
27	0.1507754149	0.9541102422
28	0.1505069534	0.9543009727
29	0.1496710643	0.9547205798
30	0.1481393823	0.9550257486
31	0.1478500813	0.9553309174
32	0.147246707	0.9555979401
33	0.1467166582	0.9557123784
34	0.1464395563	0.9559031089
35	0.1456282007	0.9565897387
36	0.1452676076	0.9568567614
37	0.144718487	0.9569711997
38	0.1442855383	0.9570093458
39	0.1438315779	0.9573145146
40	0.1437403337	0.9573908068
41	0.1435757221	0.9573908068
42	0.1431534155	0.9578104139
43	0.1429632219	0.9580011444
44	0.1425052666	0.9580774366
45	0.1420211561	0.9581537288
46	0.1411738497	0.958611482
47	0.1409638756	0.958611482
48	0.1404515701	0.9588785047
49	0.1400378203	0.9592218196
50	0.1398793317	0.9592599657
51	0.1393229154	0.9593362579
52	0.1385923519	0.9599847416
53	0.1378216066	0.9602899104
54	0.1373737216	0.9602899104
55	0.1369306976	0.9609002479
56	0.1362207016	0.9607095175
57	0.1357485144	0.9607858097
58	0.1352251576	0.9607858097
59	0.1347099914	0.9607476636
60	0.1345434703	0.9610146862
61	0.1342504094	0.9612054167
62	0.1339226686	0.9613961472
63	0.1337003867	0.9613580011
64	0.1335539873	0.9614724394
65	0.1334403652	0.9613580011
66	0.1331684535	0.9615487316
67	0.1323792285	0.9614724394
68	0.1319481084	0.9618920465
69	0.1313113804	0.9618539004
70	0.1312278228	0.9619301926
71	0.130910062	0.9621590692
72	0.1306069754	0.9621209231
73	0.1302954073	0.9621209231
74	0.1298528638	0.9622735075
75	0.1295029441	0.9624260919
76	0.1291477573	0.9625023841
77	0.1287649792	0.9627312607
78	0.1284270409	0.9629982834
79	0.1281645124	0.9627312607
80	0.1279454475	0.9628838451
81	0.1278469583	0.9629982834
82	0.1275257799	0.9629982834
83	0.1271595727	0.9631890139
84	0.1268693635	0.9634941827
85	0.1267780903	0.9635323288
86	0.1265151527	0.963608621
