iter	Passed	Remaining
0	41	41307
1	148	73909
2	312	103962
3	418	104263
4	498	99285
5	584	96874
6	756	107358
7	903	112072
8	999	110056
9	1148	113699
10	1219	109624
11	1320	108686
12	1410	107051
13	1529	107731
14	1625	106751
15	1770	108880
16	1936	111977
17	2057	112230
18	2208	114040
19	2347	115050
20	2478	115543
21	2581	114742
22	2612	110989
23	2704	109977
24	2777	108323
25	2908	108969
26	2992	107849
27	3089	107240
28	3192	106877
29	3288	106320
30	3427	107145
31	3522	106569
32	3640	106676
33	3725	105837
34	3859	106416
35	3965	106199
36	4078	106140
37	4208	106552
38	4360	107445
39	4478	107472
40	4575	107027
41	4672	106572
42	4806	106972
43	4912	106728
44	5066	107516
45	5176	107357
46	5302	107522
47	5387	106845
48	5490	106562
49	5585	106132
50	5688	105852
51	5807	105874
52	5926	105889
53	6041	105832
54	6152	105703
55	6274	105770
56	6364	105287
57	6455	104843
58	6624	105652
59	6720	105284
60	6821	105010
61	6938	104978
62	7058	104981
63	7157	104682
64	7311	105179
65	7434	105207
66	7534	104920
67	7664	105053
68	7855	105989
69	8056	107034
70	8151	106658
71	8267	106558
72	8373	106335
73	8516	106567
74	8635	106501
75	8702	105801
76	8796	105449
77	8915	105390
78	9038	105376
79	9149	105222
80	9229	104713
81	9346	104632
82	9431	104205
83	9536	103990
84	9633	103700
85	9747	103598
86	9864	103525
87	9982	103459
88	10129	103683
89	10235	103496
90	10346	103355
91	10458	103221
92	10574	103132
93	10661	102758
94	10735	102266
95	10847	102151
96	10962	102056
97	11075	101942
98	11195	101893
99	11317	101859
100	11409	101557
101	11541	101608
102	11644	101406
103	11784	101531
104	11885	101310
105	12004	101245
106	12110	101071
107	12222	100947
108	12343	100902
109	12457	100789
110	12600	100915
111	12706	100746
112	12811	100567
113	12928	100482
114	13017	100174
115	13138	100125
116	13258	100061
117	13338	99699
118	13439	99499
119	13569	99511
120	13726	99712
121	13869	99817
122	13959	99530
123	14081	99479
124	14226	99588
125	14368	99669
126	14488	99593
127	14585	99360
128	14687	99172
129	14749	98709
130	14853	98534
131	14962	98390
